wallet,raw_score,credit_score
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1.067931476631983e-20,471
0x0027f7335d610f15b325baa5798414548720fcaa,0.14916486159852685,647
0x00283b611db7844cb5677b311afd67c8e3078518,4.088385617619286e-20,471
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,2.6799238283741295e-10,471
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,1.4762292274942238e-08,471
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,6.290882719309981e-21,471
0x002aea16059a7d4bef638a03b61a9e80ef07e745,8.12277906040741e-06,471
0x002bb13a55bf4525f02717708dd4534ecc475193,1.7857700819394616e-20,471
0x002c77a71d54e6da4b28690fe1676752a74a67eb,6.536402351061156e-21,471
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,0.14915789182038874,647
0x002d2715b179d0db3e17cc28317a98f2f65e6884,0.03615237408525179,514
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,2.6543685767714153e-11,471
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,0.04584802884390332,525
0x002de04d579930686698abab5f48bda0b24fb9fc,0.14938816599438473,647
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,0.14927971479848534,647
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,8.516707081697445e-20,471
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,6.917269491754665e-23,471
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,2.1643678712174356e-05,471
0x0030040e8d836ac3e546c354f9b373e70a14deeb,0.0,471
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,5.47782497146778e-05,471
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,3.8404843443620086e-11,471
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,1.118527530062931e-18,471
0x003094a91a3b5523bc601b221f80183bd347e9ae,1.2491170386489585e-20,471
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,9.407826094317646e-13,471
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,0.15004696516324684,648
0x0030de8f624d2b2513c6dbbff788bb109b80304d,2.907913361760555e-12,471
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,1.8603664132871254e-16,471
0x0030ee334630838ea4dee0b4b6ecbc973529031f,2.353450105894666e-05,471
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,6.081978746921387e-09,471
0x00326e37cef76788f6b0cf643c94481d60bd3d58,1.7033414163394892e-07,471
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,0.02888333369244421,505
0x003325d3054cd7668fb16f19ea11bae6d02a474c,0.0,471
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,0.4493216927897229,1000
0x0034d2a08772822866b08d2c585e5c8e25723760,2.7026350472586563e-06,471
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,0.0,471
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,7.973852346041579e-06,471
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,5.67780472113163e-08,471
0x0036534c48a754163f0f446601f36bcfda840f57,0.13563988854728756,631
0x00368bb9dba2ee83f3553feae59710b9c3743e09,3.4121429367985803e-06,471
0x0036a2f1f6136bb9d7992f7def692126a279e702,2.2669186016077092e-11,471
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,0.10340331283311334,593
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,0.150426227847456,648
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1.046607345440829e-20,471
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,2.8169643389961834e-16,471
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,-0.0076920883186134695,462
0x0038281701bf3f51fdbb18903c6e18776780a9a1,6.2455851932447925e-21,471
0x00389de87cae34a6f89e13cc8225c4984add8b37,0.008429001672931069,481
0x0039e71541bdc798d062346bce94230bf519bb72,1.84528653436778e-10,471
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,5.65509350225221e-05,471
0x003a85c562730b196f7cba202a2515f2ff855736,0.15141884102468184,649
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,0.14919511572455707,647
