wallet,num_transactions,total_deposit,total_borrow,total_repay,total_redeem,num_liquidations,repay_ratio,borrow_deposit_ratio,liquidation_rate
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,13,1.73e+21,885864724.0,886027497.0,0.0,0,1.0001837447587538,5.120605341040462e-13,0.0
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,2,2105972.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,43,4.036479248781379e+20,7.250002020928938e+19,0.0,100009639.0,0,0.0,0.17961202260900333,0.0
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,4,141678625.0,0.0,0.0,142110786.0,0,0.0,0.0,0.0
0x003be39433bde975b12411fbc3025d49d813a84f,4,0.0,735469.0,0.0,0.0,3,0.0,0.0,3.0
0x003cb0842811db8d115e28f13048dd83db391dcb,1,1626066.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,1,6308462378533841.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,6,0.0,1705879701.0,3412015169.0,5.003784173994918e+21,0,2.0001499326123935,0.0,0.0
0x003e9a119439ef34de3237034cee95675b01d5d4,31,1.246863390918914e+19,17349700000.0,14071128198.0,1.2471033938872353e+19,0,0.8110300580413494,1.391467591907852e-09,0.0
0x003ed65a094ef804c934f2427b601e03113882ff,2,200000000000000.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,144,1.0414436621635264e+21,5.132498204372299e+20,1069320800.0,1.718310824391381e+17,0,2.0834314156974502e-12,0.4928253337976913,0.0
0x003f705c2e62e268891d8aa2724e32f2176dc963,1,1e+19,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,39,2.0838286423165905e+21,17000000000.0,17023583187.0,8.43484218705775e+20,0,1.0013872462941176,8.158060434902706e-12,0.0
0x00405f7b768a9a6b81e8060a17f0550501acf6be,144,30081600471.0,7.74016778832932e+18,0.0,10515091290.0,0,0.0,257305717.35340965,0.0
0x0040932d4c252856709b24dc406244392d3df400,2,9770602.0,0.0,0.0,9770603.0,0,0.0,0.0,0.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,6,1.156e+21,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,1,5e+17,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0041dac13d9365b4d695fb612950dc71884f8db1,154,3.03590018406281e+21,8.71319800000607e+20,6.551913297126152e+20,9.045958746740572e+19,0,0.7519527614455206,0.28700541756104725,0.0
0x0043090d0a3338eb89914ea9af5c529e928a044c,2,9104597210.0,0.0,0.0,9104598468.0,0,0.0,0.0,0.0
0x0043260ff376a32f335de2091e8bd455d74ecef9,1,1106700.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,1,4428075463800590.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00432beb667c8908a74f35fef62882b502347e61,3,20833601.0,0.0,0.0,20839047.0,0,0.0,0.0,0.0
0x00433d27687ff685d3871395d7fedfd42b1c3529,30,1.3509901083194155e+20,0.0,0.0,1.001127685180842e+16,0,0.0,0.0,0.0
0x0043f8113eb1257bc6314fe0434eec0d9bac3837,8,1.28224e+20,0.0,0.0,400865316.0,0,0.0,0.0,0.0
0x004403abb2246c48ac770e30e7b36e3b16e152a1,12,6.125292574661702e+18,2225060000.0,2226910929.0,6.125292702734512e+18,0,1.0008318557701814,3.6325775020189783e-10,0.0
0x00447d3b5f40e1bb71766b5ffc656f5391f6e9d8,2,1040000838.0,0.0,0.0,1040000860.0,0,0.0,0.0,0.0
0x0044803a27c6c45babd3fb7affb80b3f913579d7,67,9.601353562399687e+19,3.000000000098e+19,3.0077541071282323e+19,2.6232298980784302e+20,0,1.0025847023433263,0.31245594494576695,0.0
